《六國年表》 Yearly Chronicle of the Six States

太史公讀秦記，至犬戎敗幽王，周東徙洛邑，秦襄公始封為諸侯，作西畤用事上帝，僭端見矣。《禮》曰：「天子祭天地，諸侯祭其域內名山大川。」今秦雜戎翟之俗，先暴戾，後仁義，位在藩臣而臚於郊祀，君子懼焉。及文公踰隴，攘夷狄，尊陳寶，營岐雍之閒，而穆公修政，東竟至河，則與齊桓、晉文中國侯伯侔矣。是後陪臣執政，大夫世祿，六卿擅晉權，征伐會盟，威重於諸侯。及田常殺簡公而相齊國，諸侯晏然弗討，海內爭於戰功矣。三國終之卒分晉，田和亦滅齊而有之，六國之盛自此始。務在彊兵并敵，謀詐用而從衡短長之說起。矯稱蜂出，誓盟不信，雖置質剖符猶不能約束也。秦始小國僻遠，諸夏賓之，比於戎翟，至獻公之後常雄諸侯。論秦之德義不如魯衛之暴戾者，量秦之兵不如三晉之彊也，然卒并天下，非必險固便形勢利也，蓋若天所助焉。

或曰「東方物所始生，西方物之成孰」。夫作事者必於東南，收功實者常於西北。故禹興於西羌，湯起於亳，周之王也以豐鎬伐殷，秦之帝用雍州興，漢之興自蜀漢。

秦既得意，燒天下詩書，諸侯史記尤甚，為其有所刺譏也。詩書所以復見者，多藏人家，而史記獨藏周室，以故滅。惜哉，惜哉！獨有秦記，又不載日月，其文略不具。然戰國之權變亦有可頗采者，何必上古。秦取天下多暴，然世異變，成功大。傳曰「法後王」，何也？以其近己而俗變相類，議卑而易行也。學者牽於所聞，見秦在帝位日淺，不察其終始，因舉而笑之，不敢道，此與以耳食無異。悲夫！

余於是因秦記，踵春秋之後，起周元王，表六國時事，訖二世，凡二百七十年，著諸所聞興壞之端。後有君子，以覽觀焉。

公元前476	周元王元年。。	秦厲共公元年。	魏獻子。衛出公輒後元年。	韓宣子	趙簡子。四十二。	楚惠王章十三年。。。吳伐我。	燕獻公十七年。	齊平公驁五年。
257	五十八	五十。王齕、鄭安平圍邯鄲，及齕還軍，拔新中。	二十。公子無忌救邯鄲，秦兵解去。	十六	九。秦圍我邯鄲，楚、魏救我。	六。春申君救趙。	燕孝王元年	八
256	五十九。。赧王卒。	五十一	二十一。韓、魏、楚救趙新中，秦兵罷。	十七。秦擊我陽城，救趙新中。	十	七。救趙新中。	二	九
255		五十二。。取西周。王稽棄市。	二十二	十八	十一	八。取魯，魯君封於莒。	三	十
254		五十三	二十三	十九	十二	九	燕王喜元年	十一
253		五十四	二十四	二十	十三	十。徙於鉅陽。	二	十二
252		五十五	二十五。衛元君元年。	二十一	十四	十一	三	十三
251		五十六	二十六	二十二	十五。平原君卒。	十二。柱國景伯死。	四。伐趙，趙破我軍，殺栗腹。	十四
250		秦孝文王元年。	二十七	二十三	十六	十三	五	十五
249		秦莊襄王楚元年。。蒙驁取成皋、滎陽。初置三川郡。呂不韋相。取東周。	二十八	二十四。秦拔我成皋、滎陽。	十七	十四。楚滅魯，頃公遷卞，為家人，絕祀。	六	十六
248		二。蒙驁擊趙榆次、新城、狼孟，得三十七城。日蝕。	二十九	二十五	十八	十五。春申君徙封於吳。	七	十七
247		三。王齮擊上黨。初置太原郡。魏公子無忌率五國卻我軍河外，蒙驁解去，	三十。無忌率五國兵敗秦軍河外。	二十六。秦拔我上黨。	十九	十六	八	十八
246		始皇帝元年。。擊取晉陽，作鄭國渠。	三十一	二十七	二十。秦拔我晉陽。	十七	九	十九
245		二	三十二	二十八	二十一	十八	十	二十
244		三。蒙驁擊韓，取十三城。王齮死。	三十三	二十九。秦拔我十三城。	趙悼襄王偃元年	十九	十一	二十一
243		四。七月，蝗蔽天下。百姓納粟千石，拜爵一級。	三十四。信陵君死。	三十	二。太子從質秦歸。	二十	十二。趙拔我武遂、方城。	二十二
242		五。蒙驁取魏酸棗二十城。初置東郡。	魏景湣王元年。秦拔我二十城。	三十一	三。趙相、魏相會柯，盟。	二十一	十三。劇辛死於趙。	二十三
241		六。五國共擊秦。	二。秦拔我朝歌。衛從濮陽徙野王。	三十二	四	二十二。王東徙壽春，命曰郢。	十四	二十四
240		七。彗星見北方西方。夏太后薨。蒙驁死。	三。秦拔我汲。	三十三	五	二十三	十五	二十五
239		八。嫪毐封長信侯。	四	三十四	六	二十四	十六	二十六
238		九。彗星見，竟天。嫪毐為亂，遷其舍人于蜀。彗星復見。	五。秦拔我垣、蒲陽、衍。	韓王安元年	七	二十五。李園殺春申君。	十七	二十七
237		十。相國呂不韋免。齊、趙來，置酒。太后入咸陽。大索。	六	二	八。入秦，置酒。	楚幽王悼元年	十八	二十八。入秦，置酒。
236		十一。呂不韋之河南。王翦擊鄴、閼與，取九城。	七	三	九。秦拔我閼與、鄴，取九城。	二	十九	二十九
235		十二。發四郡兵助魏擊楚。呂不韋卒。復嫪毐舍人遷蜀者。	八。秦助我擊楚。	四	趙王遷元年。	三。秦、魏擊我。	二十	三十
234		十三。桓齮擊平陽，殺趙扈輒，斬首十萬，因東擊。趙王之河南。彗星見。	九	五	二。秦拔我平陽，敗扈輒，。斬首十萬。	四	二十一	三十一
233		十四。桓齮定平陽、武城、宜安。韓使非來，我殺非。韓王請為臣。	十	六	三。秦拔我宜安。	五	二十二	三十二
232		十五。興軍至鄴。軍至太原。取狼孟。	十一	七	四。秦拔我狼孟、鄱吾，。軍鄴。	六	二十三。太子丹質於秦，亡來歸。	三十三
231		十六。置麗邑。發卒受韓南陽。	十二。獻城秦。	八。秦來受地。	五。地大動。	七	二十四	三十四
230		十七。內史騰擊得韓王安，盡取其地，置潁川郡。華陽太后薨。	十三	九。秦虜王安，秦滅韓。	六	八	二十五	三十五
229		十八	十四。衛君角元年。		七	九	二十六	三十六
228		十九。王翦拔趙，虜王遷邯鄲。帝太后薨。	十五		八。秦王翦虜王遷邯鄲。公子嘉自立為代王。	十。幽王卒，弟郝立，為哀王。三月，負芻殺哀王。	二十七	三十七
227		二十。燕太子使荊軻刺王，覺之。王翦將擊燕。	魏王假元年		代王嘉元年	楚王負芻元年。負芻，哀王庶兄。	二十八。太子丹使荊軻刺秦王，秦伐我。	三十八
226		二十一。王賁擊楚。	二		二	二。秦大破我，取十城。	二十九。秦拔我薊，得太子丹。王徙遼東。	三十九
225		二十二。王賁擊魏，得其王假，盡取其地。	三。秦虜王假。		三	三	三十	四十
224		二十三。王翦、蒙武擊破楚軍，殺其將項燕。			四	四。秦破我將項燕。	三十一	四十一
223		二十四。王翦、蒙武破楚，虜其王負芻。			五	五。秦虜王負芻。秦滅楚。	三十二	四十二
222		二十五。王賁擊燕，虜王喜。又擊得代王嘉。五月，天下大酺。			六。秦將王賁虜王嘉，秦滅趙。		三十三。秦虜王喜，拔遼東，秦滅燕。	四十三
221		二十六。王賁擊齊，虜王建。初并天下，立為皇帝。						四十四。秦虜王建。秦滅齊。
220		二十七更命河為「德水」。為金人十二。命民曰「黔首」。同天下書。分為三十六郡。						
219		二十八為阿房宮。之衡山。治馳道。帝之琅邪，道南郡入。為太極廟。賜戶三十，爵一級。						
218		二十九郡縣大索十日。帝之琅邪，道上黨入。						
217		三十						
216		三十一更命臘曰「嘉平」。賜黔首里六石米二羊，以嘉平。大索二十日。						
215		三十二帝之碣石，道上郡入。						
214		三十三遣諸逋亡及賈人贅婿略取陸梁，為桂林、南海、象郡，以適戍。西北取戎為三十四縣。築長城河上，蒙恬將三十萬。						
213		三十四適治獄不直者築長城。取南方越地。覆獄故失。						
212		三十五為直道，道九原，通甘泉。						
211		三十六徙民於北河、榆中，耐徙三處，拜爵一級。石畫下東郡，有文言「地分。」						
210		三十七十月，帝之會稽、琅邪，還至沙丘崩。子胡亥立，為二世皇帝。殺蒙恬。道九原入。復行錢。						
209		二世元年十月戊寅，大赦罪人。十一月，為兔園。十二月，就阿房宮。其九月，郡縣皆反。楚兵至戲，章邯擊卻之。出衛君角為庶人。						
208		二將軍章邯、長史司馬欣、都尉董翳追楚兵至河。誅丞相斯、去疾，將軍馮劫。						
207		三趙高反，二世自殺，高立二世兄子嬰。子嬰立，剌殺高，夷三族。諸侯入秦，嬰降，為項羽所殺。尋誅羽，天下屬漢。						

<p>Source: Chinese Text Project <a href="http://ctext.org/shiji">http://ctext.org/shiji</a> Partial translation adapted from Herbert J. Allen's "Ssŭma Ch'ien's Historical Records" (Royal Asiatic Society, 1894).</p>
