U+6712	朒
U+7FF6	翶
U+23906	𣤆
U+71BD	熽
U+6E60	湠
U+4F95	侕
U+6A3C	樼
U+6533	攳
U+7E03	縃
U+4969	䥩
U+7E77	繷
U+9308	錈
U+5772	坲
U+44D8	䓘
U+2A0A7	𪂧
U+23EB0	𣺰
U+8B5D	譝
U+5FBE	徾
U+9578	镸
U+9216	鈖
U+6104	愄
U+728F	犏
U+45B3	䖳
U+9456	鑖
U+28938	𨤸
U+20C8E	𠲎
U+6FA6	澦
U+2A050	𪁐
U+5CD5	峕
U+8D11	贑
U+23D60	𣵠
U+4376	䍶
U+21F40	𡽀
U+3758	㝘
U+579F	垟
U+7132	焲
U+2A266	𪉦
U+44E3	䓣
U+245B1	𤖱
U+26480	𦒀
U+7A9A	窚
U+4460	䑠
U+6AAD	檭
U+93D4	鏔
U+4C37	䰷
U+9284	銄
U+9ACA	髊
U+2087D	𠡽
U+23308	𣌈
U+70CC	烌
U+7DD4	緔
U+22D8A	𢶊
U+2947A	𩑺
U+8641	虁
U+9A95	骕
U+4723	䜣
U+581C	堜
U+6142	慂
U+25859	𥡙
U+210A8	𡂨
U+2A46E	𪑮
U+28AC0	𨫀
U+3808	㠈
U+6640	晀
U+5BEF	寯
U+5A69	婩
U+3D96	㶖
U+291F9	𩇹
U+8222	舢
U+67CA	柊
U+5756	坖
U+7E57	繗
U+21B10	𡬐
U+287EF	𨟯
U+23D3F	𣴿
U+930B	錋
U+224B0	𢒰
U+4CA1	䲡
U+5B21	嬡
U+8F6A	轪
U+9CD7	鳗
U+95E3	闣
U+4FB4	侴
U+29286	𩊆
U+7732	眲
U+34A7	㒧
U+3AD9	㫙
U+27C82	𧲂
U+21F73	𡽳
U+757D	畽
U+7E49	繉
U+92C6	鋆
U+6564	敤
U+3D7D	㵽
U+2543B	𥐻
U+6B73	歳
U+51BA	冺
U+24262	𤉢
U+2461D	𤘝
U+4B19	䬙
U+2562F	𥘯
U+8F2B	輫
U+78C3	磃
U+47E3	䟣
U+8126	脦
U+45CD	䗍
U+2424E	𤉎
U+815A	腚
U+71BB	熻
U+6F96	澖
U+24B05	𤬅
U+6DC3	淃
U+27A9F	𧪟
U+4560	䕠
U+5E3E	帾
U+20F7B	𠽻
U+2E81	⺁
U+6646	晆
U+21540	𡕀
U+8009	耉
U+5623	嘣
U+88AC	袬
U+833E	茾
U+9D0B	鴋
U+933E	錾
U+8BD3	诓
U+57E3	埣
U+298CB	𩣋
U+8115	脕
U+3BAE	㮮
U+240EA	𤃪
U+21314	𡌔
U+20C22	𠰢
U+22070	𢁰
U+29B03	𩬃
U+7D87	綇
U+23CC5	𣳅
U+8D15	贕
U+492E	䤮
U+7227	爧
U+94CA	铊
U+2486C	𤡬
U+7674	癴
U+3CDA	㳚
U+228A3	𢢣
U+20C5B	𠱛
U+3CC2	㳂
U+76AB	皫
U+76B2	皲
U+979B	鞛
U+26A87	𦪇
U+3802	㠂
U+9449	鑉
U+97DF	韟
U+5833	堳
U+9385	鎅
U+8487	蒇
U+21DAD	𡶭
U+7A42	穂
U+2477B	𤝻
U+813F	脿
U+3715	㜕
U+8890	袐
U+22E42	𢹂
U+29C3F	𩰿
U+874B	蝋
U+78AB	碫
U+568D	嚍
U+4D05	䴅
U+24290	𤊐
U+3D92	㶒
U+6E02	渂
U+3486	㒆
U+6D67	浧
U+9498	钘
U+4CDC	䳜
U+22693	𢚓
U+6FB5	澵
U+24A48	𤩈
U+235BE	𣖾
U+2A1C6	𪇆
U+3573	㕳
U+4585	䖅
U+22269	𢉩
U+28AB7	𨪷
U+99E0	駠
U+7066	灦
U+380B	㠋
U+23DD3	𣷓
U+6DD5	淕
U+935D	鍝
U+8094	肔
U+6CF9	泹
U+24473	𤑳
U+7D58	絘
U+24F42	𤽂
U+246CE	𤛎
U+9D38	鴸
U+3B1B	㬛
U+4BB6	䮶
U+84E2	蓢
U+9CEC	鳬
U+4FEC	俬
U+5780	垀
U+6C46	汆
U+70F2	烲
U+2495F	𤥟
U+3C88	㲈
U+527C	剼
U+9A3F	騿
U+20866	𠡦
U+23DC9	𣷉
U+6AD4	櫔
U+214B0	𡒰
U+66D4	曔
U+3A1E	㨞
U+8008	耈
U+5B6E	孮
U+71EF	燯
U+694C	楌
U+70CD	烍
U+97A1	鞡
U+21EBD	𡺽
U+7D36	紶
U+37FE	㟾
U+23E7D	𣹽
U+2A555	𪕕
U+470E	䜎
U+99C6	駆
U+5D9B	嶛
U+7966	祦
U+63DD	揝
U+50BD	傽
U+9294	銔
U+23938	𣤸
U+9FAF	龯
U+23485	𣒅
U+879B	螛
U+7181	熁
U+74E5	瓥
U+3D30	㴰
U+831B	茛
U+86A0	蚠
U+29FEC	𩿬
U+2A017	𪀗
U+70B4	炴
U+2949C	𩒜
U+27ADA	𧫚
U+5D33	崳
U+6660	晠
U+6219	戙
U+21E64	𡹤
U+2A00A	𪀊
U+9691	隑
U+4FFF	俿
U+5D57	嵗
U+4F14	伔
U+3D53	㵓
U+58B2	墲
U+20732	𠜲
U+40D0	䃐
U+2A03C	𪀼
U+7C81	粁
U+29D40	𩵀
U+2A5B7	𪖷
U+660B	昋
U+20764	𠝤
U+5E88	庈
U+27AE3	𧫣
U+2482E	𤠮
U+2A49E	𪒞
U+71A1	熡
U+7226	爦
U+403F	䀿
U+670A	朊
U+255B5	𥖵
U+57EF	埯
U+27AE9	𧫩
U+21EDD	𡻝
U+27BBC	𧮼
U+8132	脲
U+7338	猸
U+79CE	秎
U+9B6C	魬
U+26D67	𦵧
U+26F8F	𦾏
U+3CCD	㳍
U+9243	鉃
U+5838	堸
U+8AC3	諃
U+7040	灀
U+23D6A	𣵪
U+283FC	𨏼
U+88DA	裚
U+6F59	潙
U+5EBB	庻
U+87D5	蟕
U+6BDE	毞
U+7E68	繨
U+9770	靰
U+444F	䑏
U+5A6E	婮
U+7204	爄
U+7C85	粅
U+4862	䡢
U+2671C	𦜜
U+2E88	⺈
U+28E5D	𨹝
U+2796E	𧥮
U+8101	脁
U+8C07	谇
U+23397	𣎗
U+9BC4	鯄
U+26055	𦁕
U+9804	頄
U+8358	荘
U+45E1	䗡
U+977E	靾
U+2A47A	𪑺
U+2353C	𣔼
U+23698	𣚘
U+6C2A	氪
U+5515	唕
U+6D72	浲
U+223BF	𢎿
U+8E13	踓
U+93FC	鏼
U+9F0C	鼌
U+291F5	𩇵
U+6864	桤
U+9C79	鱹
U+249A9	𤦩
U+53DD	叝
U+26A77	𦩷
U+67BA	枺
U+28730	𨜰
U+8444	葄
U+25AC3	𥫃
U+711D	焝
U+29C34	𩰴
U+372B	㜫
U+7743	睃
U+27D4A	𧵊
U+286B2	𨚲
U+4CFA	䳺
U+247C7	𤟇
U+92E2	鋢
U+8CE5	賥
U+90EE	郮
U+29CC1	𩳁
U+2A6C6	𪛆
U+8F7A	轺
U+3953	㥓
U+3C19	㰙
U+7482	璂
U+28063	𨁣
U+5337	匷
U+257ED	𥟭
U+2999A	𩦚
U+6BF0	毰
U+5842	塂
U+2CACC	𬫌
U+4116	䄖
U+65EA	旪
U+21F71	𡽱
U+90E5	郥
U+23ECB	𣻋
U+56EC	囬
U+262FA	𦋺
U+646E	摮
U+251BF	𥆿
U+6E18	渘
U+8B7E	譾
U+9861	顡
U+6AB1	檱
U+27924	𧤤
U+287C9	𨟉
U+460D	䘍
U+7D64	絤
U+45AA	䖪
U+283E5	𨏥
U+9BC6	鯆
U+70A0	炠
U+2774B	𧝋
U+7AE7	竧
U+7429	琩
U+6898	梘
U+2143E	𡐾
U+25B89	𥮉
U+8954	襔
U+8952	襒
U+417D	䅽
U+3E40	㹀
U+27F08	𧼈
U+4B3E	䬾
U+25764	𥝤
U+20BCC	𠯌
U+4443	䑃
U+20210	𠈐
U+29936	𩤶
U+53BA	厺
U+588F	墏
U+20E9E	𠺞
U+43B6	䎶
U+9C72	鱲
U+2A287	𪊇
U+6623	昣
U+4FFC	俼
U+4CE9	䳩
U+41E1	䇡
U+4A6D	䩭
U+6DA2	涢
U+40E3	䃣
U+6D57	浗
U+244C0	𤓀
U+8374	荴
U+23CEB	𣳫
U+53AF	厯
U+50A0	傠
U+2327C	𣉼
U+23122	𣄢
U+72B1	犱
U+8D65	赥
U+508B	傋
U+21F0F	𡼏
U+462A	䘪
U+9BF6	鯶
U+938D	鎍
U+88E2	裢
U+4079	䁹
U+3624	㘤
U+216B1	𡚱
U+4825	䠥
U+4AB9	䪹
U+29A1C	𩨜
U+6C4C	汌
U+35A1	㖡
U+8E05	踅
U+3BFC	㯼
U+3D72	㵲
U+2741C	𧐜
U+8E07	踇
U+6D75	浵
U+28B97	𨮗
U+6EAE	溮
U+27620	𧘠
U+22FC8	𢿈
U+2324C	𣉌
U+9259	鉙
U+4CC5	䳅
U+3D94	㶔
U+9458	鑘
U+283C8	𨏈
U+9D0A	鴊
U+52C2	勂
U+269DF	𦧟
U+61D3	懓
U+353B	㔻
U+947B	鑻
U+6610	昐
U+8CCC	賌
U+7C05	簅
U+26A34	𦨴
U+69DC	槜
U+2A590	𪖐
U+8EDA	軚
U+894E	襎
U+225ED	𢗭
U+2666B	𦙫
U+3BBA	㮺
U+20CF2	𠳲
U+9A2A	騪
U+201C8	𠇈
U+6314	挔
U+3D4E	㵎
U+24D07	𤴇
U+26442	𦑂
U+8AAB	誫
U+4616	䘖
U+5452	呒
U+8031	耱
U+74D3	瓓
U+6A79	橹
U+9D2C	鴬
U+93B7	鎷
U+7776	睶
U+3EBA	㺺
U+648C	撌
U+605E	恞
U+6EBB	溻
U+815B	腛
U+29247	𩉇
U+37B6	㞶
U+7017	瀗
U+94FB	铻
U+248B9	𤢹
U+2899F	𨦟
U+27B49	𧭉
U+2497C	𤥼
U+239B8	𣦸
U+6E99	溙
U+25717	𥜗
U+28816	𨠖
U+99E4	駤
U+6CF4	泴
U+952B	锫
U+87CC	蟌
U+27FF6	𧿶
U+9199	醙
U+71E8	燨
U+255EB	𥗫
U+2A45C	𪑜
U+70A2	炢
U+4671	䙱
U+27D16	𧴖
U+405F	䁟
U+2067A	𠙺
U+85B7	薷
U+21ED1	𡻑
U+2637C	𦍼
U+7B7F	筿
U+22932	𢤲
U+291EF	𩇯
U+2277A	𢝺
U+4C50	䱐
U+2268F	𢚏
U+5863	塣
U+8E89	躉
U+4561	䕡
U+9BD7	鯗
U+7FA6	羦
U+8452	葒
U+84E4	蓤
U+801E	耞
U+24ED6	𤻖
U+6129	愩
U+4397	䎗
U+557D	啽
U+2067D	𠙽
U+271C3	𧇃
U+9534	锴
U+58C6	壆
U+38AD	㢭
U+611D	愝
U+28EFB	𨻻
U+715D	煝
U+9860	顠
U+262A8	𦊨
U+9229	鈩
U+40CB	䃋
U+8F8A	辊
U+3C0F	㰏
U+264D2	𦓒
U+48C0	䣀
U+937D	鍽
U+6C19	氙
U+92D6	鋖
U+794C	祌
U+3629	㘩
U+5CF9	峹
U+5BED	寭
U+9A75	驵
U+7AF3	竳
U+4D0A	䴊
U+5D03	崃
U+24AAA	𤪪
U+7074	灴
U+2895C	𨥜
U+7FA7	羧
U+23FED	𣿭
U+23D16	𣴖
U+254B0	𥒰
U+686B	桫
U+66FB	曻
U+445B	䑛
U+3A2C	㨬
U+40AD	䂭
U+743D	琽
U+7158	煘
U+663B	昻
U+4CA6	䲦
U+24AE9	𤫩
U+58DB	壛
U+2879A	𨞚
U+264D4	𦓔
U+27D4D	𧵍
U+24A60	𤩠
U+7D38	紸
U+6E42	湂
U+91A5	醥
U+437A	䍺
U+25649	𥙉
U+23600	𣘀
U+20812	𠠒
U+5FE2	忢
U+66CA	曊
U+3E0C	㸌
U+93C6	鏆
U+272C4	𧋄
U+8418	萘
U+62E4	拤
U+7374	獴
U+3948	㥈
U+3816	㠖
U+920A	鈊
U+38C9	㣉
U+6C01	氁
U+2A218	𪈘
U+6706	朆
U+93CB	鏋
U+2255F	𢕟
U+22A32	𢨲
U+21E6E	𡹮
U+9221	鈡
U+37F6	㟶
U+28C04	𨰄
U+2A32D	𪌭
U+4C59	䱙
U+588D	墍
U+28891	𨢑
U+28C1C	𨰜
U+41AE	䆮
U+5FBB	徻
U+9516	锖
U+4CD5	䳕
U+9C6D	鱭
U+280DF	𨃟
U+29FE6	𩿦
U+26EC3	𦻃
U+9377	鍷
U+21508	𡔈
U+25B90	𥮐
U+7100	焀
U+2ED7	⻗
U+5DC1	巁
U+21A3E	𡨾
U+5136	儶
U+96C3	雃
U+4612	䘒
U+6CCE	泎
U+4C80	䲀
U+24723	𤜣
U+3428	㐨
U+5592	喒
U+249F6	𤧶
U+27312	𧌒
U+6CC8	泈
U+776D	睭
U+9B6B	魫
U+3EC7	㻇
U+4453	䑓
U+25E4B	𥹋
U+59D7	姗
U+4EE8	仨
U+22FFE	𢿾
U+3CDC	㳜
U+7755	睕
U+748D	璍
U+2981C	𩠜
U+3D2C	㴬
U+21EAF	𡺯
U+529C	劜
U+24C67	𤱧
U+28C9E	𨲞
U+57D1	埑
U+44A9	䒩
U+50D8	僘
U+44A4	䒤
U+214B3	𡒳
U+7C12	簒
U+27A1C	𧨜
U+5D0A	崊
U+21424	𡐤
U+24A72	𤩲
U+7462	瑢
U+9D7A	鵺
U+8613	蘓
U+365E	㙞
U+893D	褽
U+275F2	𧗲
U+2A6CC	𪛌
U+9E85	麅
U+9E01	鸁
U+61D0	懐
U+25777	𥝷
U+79A2	禢
U+8195	膕
U+2A009	𪀉
U+20EF3	𠻳
U+7208	爈
U+54D0	哐
U+27445	𧑅
U+6B1B	欛
U+5066	偦
U+5749	坉
U+8688	蚈
U+927D	鉽
U+2990F	𩤏
U+37C3	㟃
U+25561	𥕡
U+22D92	𢶒
U+29B0A	𩬊
U+930A	錊
U+27301	𧌁
U+9BBF	鮿
U+9B0F	鬏
U+2787A	𧡺
U+298B4	𩢴
U+6E16	渖
U+9288	銈
U+2A146	𪅆
U+98AB	颫
U+9942	饂
U+487A	䡺
U+22BC9	𢯉
U+82EE	苮
U+427C	䉼
U+67CC	柌
U+94F4	铴
U+70EE	烮
U+21352	𡍒
U+22A41	𢩁
U+7A06	稆
U+8824	蠤
U+26769	𦝩
U+21DDB	𡷛
U+3909	㤉
U+694F	楏
U+84B6	蒶
U+8A4B	詋
U+783D	砽
U+296FC	𩛼
U+4B9D	䮝
U+2757E	𧕾
U+345B	㑛
U+6872	桲
U+2795F	𧥟
U+56F6	囶
U+632C	挬
U+2777C	𧝼
U+28DFA	𨷺
U+70D0	烐
U+583E	堾
U+3649	㙉
U+2A45F	𪑟
U+3D57	㵗
U+26581	𦖁
U+6DB9	涹
U+6189	憉
U+720B	爋
U+249DA	𤧚
U+669A	暚
U+9125	鄥
U+22E95	𢺕
U+5E13	帓
U+88ED	裭
U+8AFF	諿
U+28B14	𨬔
U+505E	偞
U+75AD	疭
U+4B47	䭇
U+78A1	碡
U+276D5	𧛕
U+281E8	𨇨
U+5123	儣
U+211BE	𡆾
U+3E45	㹅
U+577E	坾
U+56BD	嚽
U+2203F	𢀿
U+27753	𧝓
U+60FF	惿
U+856F	蕯
U+648D	撍
U+3EA9	㺩
U+3D46	㵆
U+9D0D	鴍
U+57E5	埥
U+2259C	𢖜
U+4103	䄃
U+94D8	铘
U+6FED	濭
U+25146	𥅆
U+8699	蚙
U+6140	慀
U+728B	犋
U+285FC	𨗼
U+24822	𤠢
U+944F	鑏
U+255FC	𥗼
U+2A1BB	𪆻
U+5CDC	峜
U+8E52	蹒
U+261B5	𦆵
U+92FE	鋾
U+293E7	𩏧
U+29731	𩜱
U+8DB8	趸
U+260FC	𦃼
U+24A41	𤩁
U+26400	𦐀
U+5040	偀
U+6AEF	櫯
U+279BD	𧦽
U+7992	禒
U+9947	饇
U+5895	墕
U+7453	瑓
U+22059	𢁙
U+7110	焐
U+212AD	𡊭
U+23EA3	𣺣
U+91A1	醡
U+2559A	𥖚
U+6F75	潵
U+2F2E	⼮
U+8A59	詙
U+6F8F	澏
U+78B8	碸
U+9966	饦
U+8B51	譑
U+96AC	隬
U+6892	梒
U+8B2A	謪
U+98C9	飉
U+39CE	㧎
U+24270	𤉰
U+27525	𧔥
U+72D5	狕
U+71CD	燍
U+9401	鐁
U+28965	𨥥
U+20D5A	𠵚
U+6CD8	泘
U+7E7A	繺
U+22BFA	𢯺
U+26739	𦜹
U+7172	煲
U+228BC	𢢼
U+5425	吥
U+8538	蔸
U+5ED8	廘
U+9BED	鯭
U+87E9	蟩
U+5271	剱
U+3564	㕤
U+7844	硄
U+8DF7	跷
U+23FD6	𣿖
U+28D2F	𨴯
U+756D	畭
U+281FF	𨇿
U+5968	奨
U+580E	堎
U+26012	𦀒
U+7854	硔
U+2956C	𩕬
U+26C4C	𦱌
U+22730	𢜰
U+97B7	鞷
U+475A	䝚
U+23E82	𣺂
U+794D	祍
U+22C6F	𢱯
U+240EB	𤃫
U+3CDB	㳛
U+61EF	懯
U+845C	葜
U+3875	㡵
U+6FF4	濴
U+582D	堭
U+749B	璛
U+3EA0	㺠
U+2574A	𥝊
U+28FEF	𨿯
U+5882	墂
U+3810	㠐
U+27B88	𧮈
U+74FE	瓾
U+22226	𢈦
U+387D	㡽
U+2A100	𪄀
U+44A0	䒠
U+211A0	𡆠
U+86AC	蚬
U+24A62	𤩢
U+22FDB	𢿛
U+8876	衶
U+6B76	歶
U+668A	暊
U+22586	𢖆
U+4BB7	䮷
U+3678	㙸
U+22AD5	𢫕
U+80E7	胧
U+4E77	乷
U+2702E	𧀮
U+6ED7	滗
U+7A65	穥
U+729E	犞
U+764F	癏
U+9C20	鰠
U+92FD	鋽
U+3ECD	㻍
U+23F4E	𣽎
U+2EA9	⺩
U+26B89	𦮉
U+4C47	䱇
U+28B5A	𨭚
U+243B2	𤎲
U+6F0C	漌
U+8E02	踂
U+8BD2	诒
U+91D5	釕
U+682E	栮
U+3EDB	㻛
U+28716	𨜖
U+650D	攍
U+493F	䤿
U+23C76	𣱶
U+26A5D	𦩝
U+27180	𧆀
U+3BDD	㯝
U+21E85	𡺅
U+2A6CA	𪛊
U+71A9	熩
U+41C5	䇅
U+5C93	岓
U+5C7D	屽
U+2988D	𩢍
U+65DC	旜
U+9B5C	魜
U+47ED	䟭
U+7056	灖
U+26372	𦍲
U+241BC	𤆼
U+9BA7	鮧
U+913C	鄼
U+21A4C	𡩌
U+6FAA	澪
U+213FB	𡏻
U+25FC8	𥿈
U+46D1	䛑
U+7ABD	窽
U+203FF	𠏿
U+349C	㒜
U+6720	朠
U+75F8	痸
U+216F7	𡛷
U+6235	戵
U+5694	嚔
U+80CD	胍
U+6F9F	澟
U+63B1	掱
U+8143	腃
U+5C7B	屻
U+24754	𤝔
U+89D9	觙
U+4120	䄠
U+22587	𢖇
U+484B	䡋
U+4406	䐆
U+944D	鑍
U+248F2	𤣲
U+942D	鐭
U+5D6A	嵪
U+8B7F	譿
U+3D8C	㶌
U+4A8A	䪊
U+2930A	𩌊
U+3A17	㨗
U+9E7E	鹾
U+255C2	𥗂
U+4BC1	䯁
U+9557	镗
U+683A	栺
U+2A0D1	𪃑
U+256BB	𥚻
U+2A60F	𪘏
U+4670	䙰
U+9236	鈶
U+679E	枞
U+2A1F1	𪇱
U+26018	𦀘
U+20E06	𠸆
U+2221D	𢈝
U+42D4	䋔
U+70FC	烼
U+8965	襥
U+6ED6	滖
U+248CE	𤣎
U+57BB	垻
U+26B12	𦬒
U+352E	㔮
U+9107	鄇
U+791E	礞
U+23CB2	𣲲
U+2570E	𥜎
U+2736A	𧍪
U+5C92	岒
U+29DAF	𩶯
U+28E6B	𨹫
U+24809	𤠉
U+20B47	𠭇
U+3597	㖗
U+29A38	𩨸
U+81E2	臢
U+8EA2	躢
U+49DF	䧟
U+44EF	䓯
U+2688A	𦢊
U+247D1	𤟑
U+6CDF	泟
U+7E01	縁
U+23EF7	𣻷
U+2A434	𪐴
U+248E9	𤣩
U+7666	癦
U+6E08	済
U+2604E	𦁎
U+9546	镆
U+8609	蘉
U+7EBC	纼
U+3BEA	㯪
U+5BBB	宻
U+433D	䌽
U+2A136	𪄶
U+27483	𧒃
U+8225	舥
U+4D26	䴦
U+6D9C	涜
U+22346	𢍆
U+26F4A	𦽊
U+8530	蔰
U+7D0C	紌
U+2375B	𣝛
U+2184C	𡡌
U+20011	𠀑
U+224E8	𢓨
U+87E4	蟤
U+29FCA	𩿊
U+23271	𣉱
U+5B6A	孪
U+213BA	𡎺
U+27D12	𧴒
U+2E8D	⺍
U+4223	䈣
U+9907	餇
